ID,Trial,A,B,Answer,Result
007_b,0,-1.20,-0.60,A,True
007_b,1,-1.20,-0.60,A,True
007_b,2,-1.20,-0.70,A,True
007_b,3,-0.70,-1.20,B,True
007_b,4,-0.80,-1.20,B,True
007_b,5,-1.20,-0.80,A,True
007_b,6,-0.90,-1.20,A,False
007_b,7,-1.20,-0.80,A,True
007_b,8,-1.20,-0.80,A,True
007_b,9,-1.20,-0.90,A,True
007_b,10,-1.20,-0.90,A,True
007_b,11,-1.00,-1.20,B,True
007_b,12,-1.00,-1.20,A,False
007_b,13,-0.98,-1.20,B,True
007_b,14,-1.20,-0.98,A,True
007_b,15,-1.00,-1.20,B,True
007_b,16,-1.20,-1.00,A,True
007_b,17,-1.20,-1.02,A,True
007_b,18,-1.20,-1.02,A,True
007_b,19,-1.04,-1.20,B,True
007_b,20,-1.20,-1.04,A,True
007_b,21,-1.06,-1.20,B,True
007_b,22,-1.20,-1.06,A,True
007_b,23,-1.20,-1.08,B,False
007_b,24,-1.20,-1.06,A,True
007_b,25,-1.06,-1.20,A,False
007_b,26,-1.04,-1.20,B,True
007_b,27,-1.04,-1.20,A,False
007_b,28,-1.20,-1.02,A,True
007_b,29,-1.20,-1.02,A,True
007_b,30,-1.04,-1.20,B,True
007_b,31,-1.04,-1.20,B,True
007_b,32,-1.20,-1.06,A,True
007_b,33,-1.20,-1.06,A,True
007_b,34,-1.08,-1.20,A,False
007_b,35,-1.20,-1.06,A,True
007_b,36,-1.20,-1.06,A,True
007_b,37,-1.20,-1.08,A,True
007_b,38,-1.20,-1.08,A,True
007_b,39,-1.10,-1.20,B,True
007_b,40,-1.10,-1.20,A,False
007_b,41,-1.20,-1.08,A,True
-0.6,-0.6,-0.7,-0.7,-0.8000001,-0.8000001,-0.9000001,-0.8000001,-0.8000001,-0.9000001,-0.9000001,-1,-1,-0.9800001,-0.9800001,-1,-1,-1.02,-1.02,-1.04,-1.04,-1.06,-1.06,-1.08,-1.06,-1.06,-1.04,-1.04,-1.02,-1.02,-1.04,-1.04,-1.06,-1.06,-1.08,-1.06,-1.06,-1.08,-1.08,-1.1,-1.1,-1.08
-0.9000001,-0.8000001,-1,-0.9800001,-1.08,-1.02,-1.08,-1.06,-1.1
-1.065

