ID,Trial,A,B,Answer,Result
010_c,0,-1.20,-1.80,A,True
010_c,1,-1.80,-1.20,B,True
010_c,2,-1.20,-1.70,A,True
010_c,3,-1.20,-1.70,A,True
010_c,4,-1.20,-1.60,A,True
010_c,5,-1.60,-1.20,B,True
010_c,6,-1.20,-1.50,A,True
010_c,7,-1.20,-1.50,A,True
010_c,8,-1.40,-1.20,B,True
010_c,9,-1.40,-1.20,B,True
010_c,10,-1.30,-1.20,B,True
010_c,11,-1.20,-1.30,A,True
010_c,12,-1.20,-1.20,B,False
010_c,13,-1.20,-1.30,B,False
010_c,14,-1.40,-1.20,B,True
010_c,15,-1.20,-1.40,A,True
010_c,16,-1.30,-1.20,B,True
010_c,17,-1.20,-1.30,A,True
010_c,18,-1.20,-1.20,B,False
010_c,19,-1.22,-1.20,B,True
010_c,20,-1.20,-1.22,B,False
010_c,21,-1.24,-1.20,A,False
010_c,22,-1.20,-1.26,A,True
010_c,23,-1.26,-1.20,B,True
010_c,24,-1.20,-1.24,A,True
010_c,25,-1.24,-1.20,B,True
010_c,26,-1.20,-1.22,B,False
010_c,27,-1.24,-1.20,B,True
010_c,28,-1.20,-1.24,A,True
010_c,29,-1.22,-1.20,B,True
010_c,30,-1.20,-1.22,A,True
010_c,31,-1.20,-1.20,A,False
010_c,32,-1.22,-1.20,A,False
010_c,33,-1.24,-1.20,A,False
010_c,34,-1.20,-1.26,A,True
010_c,35,-1.20,-1.26,A,True
010_c,36,-1.20,-1.24,B,False
010_c,37,-1.20,-1.26,A,True
-1.8,-1.8,-1.7,-1.7,-1.6,-1.6,-1.5,-1.5,-1.4,-1.4,-1.3,-1.3,-1.2,-1.3,-1.4,-1.4,-1.3,-1.3,-1.2,-1.22,-1.22,-1.24,-1.26,-1.26,-1.24,-1.24,-1.22,-1.24,-1.24,-1.22,-1.22,-1.2,-1.22,-1.24,-1.26,-1.26,-1.24,-1.26
-1.2,-1.4,-1.2,-1.26,-1.22,-1.24,-1.2,-1.26,-1.24
-1.235

